source,ID_Review,aspect,change_type,old_label,new_label,old_reason,new_reason,recommended_action,model_prediction,model_confidence,Text_Review
needs_manual_review_after_step_1_4,10193,Harga,apply_missing_label_from_manual_review,none,negatif,,"akses masuk susah nyarinya pake map, parkiran kecil, palayanan kurang, fasilitas kamar tidak sesuai dengan harga, kamar ada kecoak.",likely_missing_label,negatif,0.8998,"akses masuk susah nyarinya pake map, parkiran kecil, palayanan kurang, fasilitas kamar tidak sesuai dengan harga, kamar ada kecoak."
needs_manual_review_after_step_1_4,9497,Pelayanan,apply_missing_label_from_manual_review,none,positif,,"bagus ruangan, layanan besar, bagus, besar dan bersih kolam renang.",likely_missing_label,positif,0.8997,"bagus ruangan, layanan besar, bagus, besar dan bersih kolam renang. kami berenang di malam hari dan itu bagus"
needs_manual_review_after_step_1_4,11601,Makanan,apply_missing_label_from_manual_review,none,positif,,sarapan sangat nyaman.,likely_missing_label,positif,0.8972,hotel ini cukup bagus. dan itu terletak di sebelah mal. sarapan sangat nyaman. salah satu downside adalah wi-fi yang connectionyou tidak bisa streaming youtube di sana.
needs_manual_review_after_step_1_4,629,Harga,apply_missing_label_from_manual_review,none,positif,,"saya puas dengan memilih hotel santika ini, lokasi yang strategis, room service dengan valuable price, makanannya enak.",likely_missing_label,positif,0.8968,"saya puas dengan memilih hotel santika ini, lokasi yang strategis, room service dengan valuable price, makanannya enak."
needs_manual_review_after_step_1_4,1819,Pelayanan,apply_missing_label_from_manual_review,none,positif,,"semua pelayan sangat ramah, kamar nyaman dan bersih, menu makan pagi ckup bervariasi dan enak.",likely_missing_label,positif,0.8962,"semua pelayan sangat ramah, kamar nyaman dan bersih, menu makan pagi ckup bervariasi dan enak. akses ke hotel cukup mudah dan bukan di jalur macet. dan yang sangat menarik adalah pagi pagi mobil di cuci dari pihak hotel."
needs_manual_review_after_step_1_4,8901,Kebersihan,apply_missing_label_from_manual_review,none,positif,,"lokasinya yang berada di tengah kota membuat perjalanan dari hotel ke lokasi tujuan sangat mudah dicapai, lebih lanjut ada pelayanan tambahan karena setiap pagi dicuci secara cuma-cuma sehingga mobil kami tetap bersih sehingga terlihat professional saat sampai di kantor.",likely_missing_label,positif,0.8918,"hotel santika memang pilihan tepat sebagai akomodasi saat melakukan perjalanan dinas. lokasinya yang berada di tengah kota membuat perjalanan dari hotel ke lokasi tujuan sangat mudah dicapai, lebih lanjut ada pelayanan tambahan karena setiap pagi dicuci secara cuma-cuma sehingga mobil kami tetap bersih sehingga terlihat professional saat sampai di kantor."
needs_manual_review_after_step_1_4,2834,Fasilitas,apply_missing_label_from_manual_review,none,negatif,,floordrain tidak berfungsi.,likely_missing_label,negatif,0.8918,floordrain tidak berfungsi. jadi saya harus buka floordrainnya biar airnya tidak menggenang. saya bermalam di unit yang exclusive. hanya dapat buah 3 pcs. penerangan kurang. karpet di ruang family kotor banget sama sofa belum pernah di dryclean kayaknya. selain hal ini nyaman.
needs_manual_review_after_step_1_4,12915,Harga,apply_missing_label_from_manual_review,none,positif,,"tempat nyaman, bersih sesuai dengan budget, kolam renang bersih.",likely_missing_label,positif,0.8901,"tempat nyaman, bersih sesuai dengan budget, kolam renang bersih."
needs_manual_review_after_step_1_4,5539,Kebersihan,apply_missing_label_from_manual_review,none,positif,,kebersihan terjaga maksimal.,likely_missing_label,positif,0.888,kebersihan terjaga maksimal. kolam renang dengan pemandangan indah. kolam renang dengan pemandangan indah.
needs_manual_review_after_step_1_4,10012,Lokasi,apply_missing_label_from_manual_review,none,positif,,"plusnya + lokasi strategis + kamar bersih, air conditioner dingin, water heater berfungsi + makanan bervariasi + ada keterlambatan wkt cek in dari hotel tapi dikasih tambahan wkt 2 jam untuk cek out minusnya - lantai kamar mandi dekat wastafel airnya menggenang terus - tidak ada hair dryer dan kulkas - tidak ada galon",likely_missing_label,positif,0.8841,"plusnya + lokasi strategis + kamar bersih, air conditioner dingin, water heater berfungsi + makanan bervariasi + ada keterlambatan wkt cek in dari hotel tapi dikasih tambahan wkt 2 jam untuk cek out minusnya - lantai kamar mandi dekat wastafel airnya menggenang terus - tidak ada hair dryer dan kulkas - tidak ada galon isi ulang air, jd hanya dibatasi 4 botol"
