ID_Review,aspect,original_label,v3_label,original_reason,v3_reason,Text_Review
149,Kenyamanan,netral,none,bangunan hotel merupakan bangunan tua namun memiliki perawatan yang baik sehingga,,hotel ini memiliki lokasi yang bagus. ada supermarket di seberang hotel dan ada banyak jajanan pinggir jalan di dekat hotel. bangunan hotel merupakan bangunan tua namun memiliki perawatan yang baik sehingga bangunan hotel masih bagus dan bersih.
750,Kenyamanan,none,negatif,,"minus hairdryer aja, dan tidak ada dispenser air, exhaust fan kamarmandi tidak terasa sirkulasinya, bantal kempes, cahaya kurang terang.","perdana stay, pasca drop off di lobby, effortnya susah cari parkir, untungnya ada akses dari dalam mall ke dalam hotel. request connecting room, hanya dapat 1 aksesdoor masing², jadi repot kalau mau naik lantai izin staf bantu tap lift. minus hairdryer aja, dan tidak ada dispenser air, exhaust fan kamarmandi tidak terasa sirkulasinya, bantal kempes, cahaya kurang terang. plusnya ada hiburan smarttv dan wi-fi superngebut. breakfastnya b aja, wafflenya rasa adonan pukis, dan roti tawar terlihat kurang fresh, tapi westernfoodnya lumayan enak. pelayanan staf fo kurang senyum, dan jangan lupa bawa struk parkir untuk stamp free parking."
1184,Kenyamanan,none,positif,,ruangan itu bersih dan nyaman.,ruangan itu bersih dan nyaman. kualitas makannya tidak bagus untuk makan malam tapi cukup bagus untuk sarapan. layanan binatu buruk - setrika perlu ditingkatkan.
1200,Kenyamanan,netral,negatif,"terlalu kecil, aku tidak mendapat pemandangan dari kamarku, menurutku itu kamar yang","santika bogor bagus, kamarnya terlalu polos, tidak ada lukisan, tvnya terlalu kecil, aku tidak mendapat pemandangan dari kamarku, menurutku itu kamar yang terisolasi.","santika bogor bagus, kamarnya terlalu polos, tidak ada lukisan, tvnya terlalu kecil, aku tidak mendapat pemandangan dari kamarku, menurutku itu kamar yang terisolasi. sarapannya baik, orangnya baik tapi terlalu ramai jadi ketika saya minta piring, mereka memberi saya piring kotor dengan saus di dasar piring. tempat parkir sangat ramai, tidak ada ruang untuk tamu karena ini adalah tempat yang sama untuk mal."
1385,Kenyamanan,none,positif,,"hotel bersih dan nyaman, overall baik banget, hanya parkir kendaraan yang kurang baik karena kalau keluar cari2 petugasnya dulu","hotel bersih dan nyaman, overall baik banget, hanya parkir kendaraan yang kurang baik karena kalau keluar cari2 petugasnya dulu"
1754,Kenyamanan,none,positif,,kenyamanan kamar dan kolam renang menjadi nilai jual terbesarnya.,"kenyamanan kamar dan kolam renang menjadi nilai jual terbesarnya. tapi untuk sarapannya terasa agak kurang. butuh lebih banyak protein. dan ya, tidak ada smart televisi juga. tapi saya sangat senang ada tukang cuci mobil yang membersihkan mobil kami setiap pagi. tapi mungkin mereka memerlukan pelatihan? hanya untuk tetap profesional."
2080,Kenyamanan,netral,negatif,hotel tua yang menempati lahan luas dan lokasi yang strategis.,"sarapan alakadarnya, lokasi seputar kolam tidak terawat, air conditioner tidak dingin, kamar mandi bau, kunci hotel sudah jadul, balkoni depan jendela kotor banget, area deket lift d lobi gelap, terkesan kotor.","hotel tua yang menempati lahan luas dan lokasi yang strategis. seharusnya bisa mempertahankan ""keklasikan"" hotel santika yang sudah terkenal. sayangnya tidak bisa menjaga itu. sarapan alakadarnya, lokasi seputar kolam tidak terawat, air conditioner tidak dingin, kamar mandi bau, kunci hotel sudah jadul, balkoni depan jendela kotor banget, area deket lift d lobi gelap, terkesan kotor. semoga segera diperbaiki ya"
2287,Kenyamanan,none,positif,,"sangat menyenangkan dan terjaga privacy, sehingga kami dapat dengan leluasa menikmati fasilitas hotel yang disediakan.","sangat menyenangkan dan terjaga privacy, sehingga kami dapat dengan leluasa menikmati fasilitas hotel yang disediakan."
2293,Kenyamanan,none,positif,,"cek in dan cek out cepat dan mudah, kamar pun luas dan bersih","cek in dan cek out cepat dan mudah, kamar pun luas dan bersih"
2311,Kenyamanan,none,positif,,"kamar yang sangat nyaman, staf yang sangat raman, dan makanan yang lezat untuk dinikmati","kamar yang sangat nyaman, staf yang sangat raman, dan makanan yang lezat untuk dinikmati"
