source,issue,aspect,ID_Review,current_label,model_prediction,model_confidence,suggested_label,recommended_action,aspect_evidence,sentiment_evidence,Platform,Nama_Hotel,Review_Date,Text_Review,current_reason,action_rank
priority_model_disagreement,model_high_confidence_disagreement,Kebersihan,5618,none,negatif,0.9768,negatif,likely_missing_label,"handuk, linen, bau, pengharum, lubang di handuk","aspect evidence: handuk, linen, bau, pengharum, lubang di handuk; sentiment evidence: tidak, ga , bau, tidak bisa",Tiket,Hotel Santika Cirebon,12/1/2021,pengharum ruangan? bau linen sangat menyengat sehingga saya tidak bisa tidur. ada lubang di handuk.,,1
priority_model_disagreement,model_high_confidence_disagreement,Lokasi,11167,none,negatif,0.9691,negatif,likely_missing_label,"akses, mall, mal","aspect evidence: akses, mall, mal; mixed/weak sentiment: ",Traveloka,Hotel Santika Depok,12/21/2016,sangat berkesan dengan hotel santika. hanya perlu di informasikan akses masuk hotel jika mall sudah tutup.,,1
priority_model_disagreement,model_high_confidence_disagreement,Makanan,8680,none,netral,0.9687,netral,likely_missing_label,"makanan, makan","aspect evidence: makanan, makan; mixed/weak sentiment: positive: nyaman, aman, dekat; negative: ga , kecil",Traveloka,Hotel Santika Bogor,1/6/2016,untuk liburan keluarga nyaman. apa lagi yang punya anak kecil. untuk cari makanan sangat dekat mall. untuk keseluruhan suka sekali menginap di santika bogor anak2pun sangat suka.,,1
priority_model_disagreement,model_high_confidence_disagreement,Harga,10647,none,negatif,0.9683,negatif,likely_missing_label,"mahal, biaya, rate","aspect evidence: mahal, biaya, rate; mixed/weak sentiment: positive: baik, strategis, enak; negative: gak, mahal, sempit",Traveloka,Hotel Santika Depok,10/31/2018,"hotel cukup strategis karena satu kawasan dengan mal, turun lift jalan dikit langsung masuk mall depok, fasilitas kamar cukup baik, view lumayan dari lantai 26 hahaha tetapi ukuran kamar agak sempit agak untuk sholat pas-pasan, air mineral banyak, variasi makanan banyak, rasa lumayan enak, parkir lumayan mahal untuk satu hari check in kemudian check out biaya parkir 40rb.",,1
priority_model_disagreement,model_high_confidence_disagreement,Fasilitas,10602,none,positif,0.955,positif,likely_missing_label,fasilitas,"aspect evidence: fasilitas; mixed/weak sentiment: positive: baik, pas; negative: ga ",Traveloka,Hotel Santika Depok,12/12/2018,hotel ini sangat pas untuk liburan bersama keluarga dan pasangan. karena berada satu area dengan mall dan bioskop. sehingga saat selesai berbelanja dan menonton bisa langsung beristirahat di sebelah gedung mall. hotel ini juga memiliki fasilitas dan layanan yang sangat baik bagi pelanggan.,,1
priority_model_disagreement,model_high_confidence_disagreement,Fasilitas,10098,none,negatif,0.9472,negatif,likely_missing_label,"shower, hairdryer, air","aspect evidence: shower, hairdryer, air; mixed/weak sentiment: positive: ramah, enak; negative: tidak, kecil, mampet",Traveloka,Hotel Santika Depok,3/6/2024,"untuk kamarnya standar lah, shower-nya mampet, air mengalir sangat kecil, tanpa hairdryer juga. namun, yang bikin kita tidak komplain adalah staff-nya ramah-ramah, makanan saat sarapan semuanya enak.",,1
priority_model_disagreement,model_high_confidence_disagreement,Kenyamanan,12145,none,negatif,0.9461,negatif,likely_missing_label,"kamar, air conditioner, dingin","aspect evidence: kamar, air conditioner, dingin; mixed/weak sentiment: positive: baik, bersih, puas; negative: kurang, kecil",Traveloka,Hotel Santika Mega City Bekasi,6/2/2021,"puas banget sama pelayanan, kebersihan dan fasilitasnya. cuma pas di kamar saya air conditioner nya kurang dingin padahal temperatur sudah paling kecil. overall baik kok tapi! bakal staycation ke sini lagi next time.",,1
priority_model_disagreement,model_high_confidence_disagreement,Fasilitas,2413,none,negatif,0.946,negatif,likely_missing_label,kulkas,"aspect evidence: kulkas; mixed/weak sentiment: positive: ramah, nyaman, bersih; negative: tidak, tidak ada",Agoda,Hotel Santika Depok,3/23/2025,"nyaman, strategis di mall, menawarkan sahur, dan staf ramah, kamar bersih, sayangnya tidak ada kulkas mini.",,1
priority_model_disagreement,model_high_confidence_disagreement,Harga,8266,none,positif,0.9445,positif,likely_missing_label,rate,"aspect evidence: rate; mixed/weak sentiment: positive: strategis, memuaskan; negative: ga ",Traveloka,Hotel Santika Bogor,4/11/2018,"memuaskan, kamarnya lega, mini bar-nya gratis, tempatnya strategis, makanannya juga banyak variasi. so far sesuai harapan.",,1
priority_model_disagreement,model_high_confidence_disagreement,Fasilitas,10160,none,positif,0.9431,positif,likely_missing_label,"kolam, kolam renang","aspect evidence: kolam, kolam renang; mixed/weak sentiment: positive: bersih, lengkap; negative: tidak, ga ",Traveloka,Hotel Santika Depok,2/22/2023,"staycation di hotel santika sangat menyenangkan, kamar bersih, perlengkapan yang ada di kamarpun bersih. ada kolam renang juga. mohon pelayanan di saat sarapan di cafe anjani, ada yang memantau jika ada piring kosong di meja tamu yang sarapan agar dapat diambil. jadi meja tidak penuh dengan piring kosong. terima kasih juga kejutan wedding anniversary kami.",,1
