ID_Review,aspect,change_type,old_label,new_label,old_reason,new_reason,source_action,model_prediction,model_confidence,Text_Review
5618,Kebersihan,apply_label_and_reason,none,negatif,,bau linen sangat menyengat sehingga saya tidak bisa tidur.,likely_missing_label,negatif,0.9768,pengharum ruangan? bau linen sangat menyengat sehingga saya tidak bisa tidur. ada lubang di handuk.
11167,Lokasi,apply_label_and_reason,none,negatif,,hanya perlu di informasikan akses masuk hotel jika mall sudah tutup.,likely_missing_label,negatif,0.9691,sangat berkesan dengan hotel santika. hanya perlu di informasikan akses masuk hotel jika mall sudah tutup.
10647,Harga,apply_label_and_reason,none,negatif,,"hotel cukup strategis karena satu kawasan dengan mal, turun lift jalan dikit langsung masuk mall depok, fasilitas kamar cukup baik, view lumayan dari lantai 26 hahaha tetapi ukuran kamar agak sempit agak untuk sholat pas-pasan, air mineral banyak, variasi makanan banyak, rasa lumayan enak, parkir lumayan mahal untuk sa",likely_missing_label,negatif,0.9683,"hotel cukup strategis karena satu kawasan dengan mal, turun lift jalan dikit langsung masuk mall depok, fasilitas kamar cukup baik, view lumayan dari lantai 26 hahaha tetapi ukuran kamar agak sempit agak untuk sholat pas-pasan, air mineral banyak, variasi makanan banyak, rasa lumayan enak, parkir lumayan mahal untuk satu hari check in kemudian check out biaya parkir 40rb."
10602,Fasilitas,apply_label_and_reason,none,positif,,hotel ini juga memiliki fasilitas dan layanan yang sangat baik bagi pelanggan.,likely_missing_label,positif,0.955,hotel ini sangat pas untuk liburan bersama keluarga dan pasangan. karena berada satu area dengan mall dan bioskop. sehingga saat selesai berbelanja dan menonton bisa langsung beristirahat di sebelah gedung mall. hotel ini juga memiliki fasilitas dan layanan yang sangat baik bagi pelanggan.
10098,Fasilitas,apply_label_and_reason,none,negatif,,"untuk kamarnya standar lah, shower-nya mampet, air mengalir sangat kecil, tanpa hairdryer juga.",likely_missing_label,negatif,0.9472,"untuk kamarnya standar lah, shower-nya mampet, air mengalir sangat kecil, tanpa hairdryer juga. namun, yang bikin kita tidak komplain adalah staff-nya ramah-ramah, makanan saat sarapan semuanya enak."
12145,Kenyamanan,apply_label_and_reason,none,negatif,,cuma pas di kamar saya air conditioner nya kurang dingin padahal temperatur sudah paling kecil.,likely_missing_label,negatif,0.9461,"puas banget sama pelayanan, kebersihan dan fasilitasnya. cuma pas di kamar saya air conditioner nya kurang dingin padahal temperatur sudah paling kecil. overall baik kok tapi! bakal staycation ke sini lagi next time."
2413,Fasilitas,apply_label_and_reason,none,negatif,,"nyaman, strategis di mall, menawarkan sahur, dan staf ramah, kamar bersih, sayangnya tidak ada kulkas mini.",likely_missing_label,negatif,0.946,"nyaman, strategis di mall, menawarkan sahur, dan staf ramah, kamar bersih, sayangnya tidak ada kulkas mini."
8266,Harga,apply_label_and_reason,none,positif,,"memuaskan, kamarnya lega, mini bar-nya gratis, tempatnya strategis, makanannya juga banyak variasi.",likely_missing_label,positif,0.9445,"memuaskan, kamarnya lega, mini bar-nya gratis, tempatnya strategis, makanannya juga banyak variasi. so far sesuai harapan."
10160,Fasilitas,apply_label_and_reason,none,positif,,ada kolam renang juga.,likely_missing_label,positif,0.9431,"staycation di hotel santika sangat menyenangkan, kamar bersih, perlengkapan yang ada di kamarpun bersih. ada kolam renang juga. mohon pelayanan di saat sarapan di cafe anjani, ada yang memantau jika ada piring kosong di meja tamu yang sarapan agar dapat diambil. jadi meja tidak penuh dengan piring kosong. terima kasih juga kejutan wedding anniversary kami."
1064,Fasilitas,apply_label_and_reason,none,negatif,,kapasitas liftnya tidak baik,likely_missing_label,negatif,0.9412,satu malam menginap layanan grup tidak baik! harus menyelesaikannya sebelum kedatangan kamar jika belum siap. kapasitas liftnya tidak baik
