source,issue,aspect,ID_Review,current_label,model_prediction,model_confidence,suggested_label,recommended_action,aspect_evidence,sentiment_evidence,Platform,Nama_Hotel,Review_Date,Text_Review,current_reason,action_rank,audit_decision,rule_auto_selected,applied_to_dataset,final_label,final_reason,validation_note,manual_decision,manual_final_label,manual_final_reason,manual_review_note,inferred_label,inferred_reason,old_label_before_manual_review,old_reason_before_manual_review,changed_in_v3
priority_model_disagreement,model_high_confidence_disagreement,Makanan,8680,none,netral,0.9687,netral,likely_missing_label,"makanan, makan","aspect evidence: makanan, makan; mixed/weak sentiment: positive: nyaman, aman, dekat; negative: ga , kecil",Traveloka,Hotel Santika Bogor,1/6/2016,untuk liburan keluarga nyaman. apa lagi yang punya anak kecil. untuk cari makanan sangat dekat mall. untuk keseluruhan suka sekali menginap di santika bogor anak2pun sangat suka.,,1,needs_manual_review,False,False,none,,"Kandidat missing label masih perlu review karena confidence lebih rendah, label netral, atau bukti aspek kurang kuat.",keep_none_no_clear_aspect_sentiment,none,,Bukti aspek sedikit lebih positif.,positif,,none,,False
priority_model_disagreement,model_high_confidence_disagreement,Harga,10193,none,negatif,0.8998,negatif,likely_missing_label,harga,"aspect evidence: harga; sentiment evidence: kurang, tidak, kecil, susah, tidak sesuai",Traveloka,Hotel Santika Depok,6/1/2022,"akses masuk susah nyarinya pake map, parkiran kecil, palayanan kurang, fasilitas kamar tidak sesuai dengan harga, kamar ada kecoak.",,1,needs_manual_review,False,False,none,,"Kandidat missing label masih perlu review karena confidence lebih rendah, label netral, atau bukti aspek kurang kuat.",apply_missing_label_from_manual_review,negatif,"akses masuk susah nyarinya pake map, parkiran kecil, palayanan kurang, fasilitas kamar tidak sesuai dengan harga, kamar ada kecoak.",Bukti aspek condong negatif.,negatif,"akses masuk susah nyarinya pake map, parkiran kecil, palayanan kurang, fasilitas kamar tidak sesuai dengan harga, kamar ada kecoak.",none,,True
priority_model_disagreement,model_high_confidence_disagreement,Pelayanan,9497,none,positif,0.8997,positif,likely_missing_label,layanan,"aspect evidence: layanan; sentiment evidence: bagus, bersih",Traveloka,Hotel Santika Cirebon,7/26/2017,"bagus ruangan, layanan besar, bagus, besar dan bersih kolam renang. kami berenang di malam hari dan itu bagus",,1,needs_manual_review,False,False,none,,"Kandidat missing label masih perlu review karena confidence lebih rendah, label netral, atau bukti aspek kurang kuat.",apply_missing_label_from_manual_review,positif,"bagus ruangan, layanan besar, bagus, besar dan bersih kolam renang.",Bukti aspek condong positif.,positif,"bagus ruangan, layanan besar, bagus, besar dan bersih kolam renang.",none,,True
priority_model_disagreement,model_high_confidence_disagreement,Makanan,11601,none,positif,0.8972,positif,likely_missing_label,sarapan,"aspect evidence: sarapan; mixed/weak sentiment: positive: bagus, nyaman, aman; negative: tidak, tidak bisa",Traveloka,Hotel Santika Depok,10/14/2015,hotel ini cukup bagus. dan itu terletak di sebelah mal. sarapan sangat nyaman. salah satu downside adalah wi-fi yang connectionyou tidak bisa streaming youtube di sana.,,1,needs_manual_review,False,False,none,,"Kandidat missing label masih perlu review karena confidence lebih rendah, label netral, atau bukti aspek kurang kuat.",apply_missing_label_from_manual_review,positif,sarapan sangat nyaman.,Bukti aspek condong positif.,positif,sarapan sangat nyaman.,none,,True
priority_model_disagreement,model_high_confidence_disagreement,Harga,629,none,positif,0.8968,positif,likely_missing_label,rate,"aspect evidence: rate; sentiment evidence: strategis, enak, puas",Agoda,Hotel Santika Bandung,4/30/2013,"saya puas dengan memilih hotel santika ini, lokasi yang strategis, room service dengan valuable price, makanannya enak.",,1,needs_manual_review,False,False,none,,"Kandidat missing label masih perlu review karena confidence lebih rendah, label netral, atau bukti aspek kurang kuat.",apply_missing_label_from_manual_review,positif,"saya puas dengan memilih hotel santika ini, lokasi yang strategis, room service dengan valuable price, makanannya enak.",Bukti aspek condong positif.,positif,"saya puas dengan memilih hotel santika ini, lokasi yang strategis, room service dengan valuable price, makanannya enak.",none,,True
priority_model_disagreement,model_high_confidence_disagreement,Pelayanan,1819,none,positif,0.8962,positif,likely_missing_label,ramah,"aspect evidence: ramah; sentiment evidence: ramah, nyaman, bersih, enak, mudah",Agoda,Hotel Santika Cirebon,5/12/2024,"semua pelayan sangat ramah, kamar nyaman dan bersih, menu makan pagi ckup bervariasi dan enak. akses ke hotel cukup mudah dan bukan di jalur macet. dan yang sangat menarik adalah pagi pagi mobil di cuci dari pihak hotel.",,1,needs_manual_review,False,False,none,,"Kandidat missing label masih perlu review karena confidence lebih rendah, label netral, atau bukti aspek kurang kuat.",apply_missing_label_from_manual_review,positif,"semua pelayan sangat ramah, kamar nyaman dan bersih, menu makan pagi ckup bervariasi dan enak.",Bukti aspek condong positif.,positif,"semua pelayan sangat ramah, kamar nyaman dan bersih, menu makan pagi ckup bervariasi dan enak.",none,,True
priority_model_disagreement,model_high_confidence_disagreement,Lokasi,12238,none,negatif,0.8935,negatif,likely_missing_label,mal,"aspect evidence: mal; mixed/weak sentiment: positive: bagus, baik, nyaman; negative: tidak, ga , kecil",Traveloka,Hotel Santika Mega City Bekasi,6/10/2020,"pada dasarnya hotel ini sudah bagus baik dalam pelayanan, hanya saja kenyamanan kami menginap terganggu dengan 1 kamar yang terlalu berisik pada saat menginap. anak kecil berlarian di lorong orang tuanya malah ngobrol di depan kamar dengan suara yang aga keras. tidak hanya pagi, siang, sore dan malam saja bahkan tengah malam sekitar jam setengah 12 lebih pun mereka masih saja berisik. sampai kami harus pindah kamar yang letaknya aga jauh karna masalah ini. setelah pindah kamar, suara tersebut tetap saja terdengar (anak kecil teriak orang tuanya ngobrol juga suara nya kencang). sangat amat menganggu kenyamanan kami menginap disini. kami ingin menginap dengan nyaman, tapi terganggu tidur kami hanya karna 1 kamar yang tidak tahu bagaimana harus bersikap menjadu tamu juga yang menginap di hotel ini. ketika kami komplain dengan pihak hotel sampai beberapa kali karna kejadian tersebut terulang terus, tapi pihak hotel hanya menelpon kamar tersebut saja terus menerus, tidak ada sanksi tegas yang diberikan. pindah kamar dengan beda lantai kembali katanya sudah tidak bisa karna sudah memasuki malam hari tidak ada tindak lanjutnya lagi. lain kali pihak hotel seharusnya bisa memberikan ketegasan kepada tamu yang seperti itu, jangan hanya cuma menegur lewat telpon saja ke kamar tersebut. kalau sudah 3x ditegur lewat telpon, seharusnya untuk ke 4x nya diberikan sanksi tegas agar tamu lainnya nyaman untuk beristirahat. itu saja yang membuat kami kecewa menginap disini. terima kasih",,1,needs_manual_review,False,False,none,,"Kandidat missing label masih perlu review karena confidence lebih rendah, label netral, atau bukti aspek kurang kuat.",keep_none_no_clear_aspect_sentiment,none,,Bukti aspek sedikit lebih negatif.,negatif,,none,,False
priority_model_disagreement,model_high_confidence_disagreement,Kebersihan,8901,none,positif,0.8918,positif,likely_missing_label,bersih,"aspect evidence: bersih; mixed/weak sentiment: positive: bersih, mudah; negative: ga ",Traveloka,Hotel Santika Cirebon,5/21/2025,"hotel santika memang pilihan tepat sebagai akomodasi saat melakukan perjalanan dinas. lokasinya yang berada di tengah kota membuat perjalanan dari hotel ke lokasi tujuan sangat mudah dicapai, lebih lanjut ada pelayanan tambahan karena setiap pagi dicuci secara cuma-cuma sehingga mobil kami tetap bersih sehingga terlihat professional saat sampai di kantor.",,1,needs_manual_review,False,False,none,,"Kandidat missing label masih perlu review karena confidence lebih rendah, label netral, atau bukti aspek kurang kuat.",apply_missing_label_from_manual_review,positif,"lokasinya yang berada di tengah kota membuat perjalanan dari hotel ke lokasi tujuan sangat mudah dicapai, lebih lanjut ada pelayanan tambahan karena setiap pagi dicuci secara cuma-cuma sehingga mobil kami tetap bersih sehingga terlihat professional saat sampai di kantor.",Bukti aspek condong positif.,positif,"lokasinya yang berada di tengah kota membuat perjalanan dari hotel ke lokasi tujuan sangat mudah dicapai, lebih lanjut ada pelayanan tambahan karena setiap pagi dicuci secara cuma-cuma sehingga mobil kami tetap bersih sehingga terlihat professional saat sampai di kantor.",none,,True
priority_model_disagreement,model_high_confidence_disagreement,Fasilitas,2834,none,negatif,0.8918,negatif,likely_missing_label,air,"aspect evidence: air; mixed/weak sentiment: positive: nyaman, aman, berfungsi; negative: kurang, tidak, kotor",Agoda,Hotel Santika Depok,1/19/2022,floordrain tidak berfungsi. jadi saya harus buka floordrainnya biar airnya tidak menggenang. saya bermalam di unit yang exclusive. hanya dapat buah 3 pcs. penerangan kurang. karpet di ruang family kotor banget sama sofa belum pernah di dryclean kayaknya. selain hal ini nyaman.,,1,needs_manual_review,False,False,none,,"Kandidat missing label masih perlu review karena confidence lebih rendah, label netral, atau bukti aspek kurang kuat.",apply_missing_label_from_manual_review,negatif,floordrain tidak berfungsi.,Bukti aspek condong negatif.,negatif,floordrain tidak berfungsi.,none,,True
priority_model_disagreement,model_high_confidence_disagreement,Harga,12915,none,positif,0.8901,positif,likely_missing_label,budget,"aspect evidence: budget; sentiment evidence: nyaman, bersih, aman",Traveloka,Hotel Santika Mega City Bekasi,6/20/2018,"tempat nyaman, bersih sesuai dengan budget, kolam renang bersih.",,1,needs_manual_review,False,False,none,,"Kandidat missing label masih perlu review karena confidence lebih rendah, label netral, atau bukti aspek kurang kuat.",apply_missing_label_from_manual_review,positif,"tempat nyaman, bersih sesuai dengan budget, kolam renang bersih.",Bukti aspek condong positif.,positif,"tempat nyaman, bersih sesuai dengan budget, kolam renang bersih.",none,,True
