aspect,error_type,confidence,ID_Review,Platform,Nama_Hotel,Review_Date,review_word_len,Text_Review,true_label_source,pred_label_source,alasan_aspect
Lokasi,none -> negatif,0.9691,11167,Traveloka,Hotel Santika Depok,12/21/2016,16,sangat berkesan dengan hotel santika. hanya perlu di informasikan akses masuk hotel jika mall sudah tutup.,none,negatif,
Lokasi,none -> negatif,0.8935,12238,Traveloka,Hotel Santika Mega City Bekasi,6/10/2020,229,"pada dasarnya hotel ini sudah bagus baik dalam pelayanan, hanya saja kenyamanan kami menginap terganggu dengan 1 kamar yang terlalu berisik pada saat menginap. anak kecil berlarian di lorong orang tuanya malah ngobrol di depan kamar dengan suara yang aga keras. tidak hanya pagi, siang, sore dan malam saja bahkan tengah malam sekitar jam setengah 12 lebih pun mereka masih saja berisik. sampai kami harus pindah kamar yang letaknya aga jauh karna masalah ini. setelah pindah kamar, suara tersebut tetap saja terdengar (anak kecil teriak orang tuanya ngobrol juga suara nya kencang). sangat amat menganggu kenyamanan kami menginap disini. kami ingin menginap dengan nyaman, tapi terganggu tidur kami hanya karna 1 kamar yang tidak tahu bagaimana harus bersikap menjadu tamu juga yang menginap di hotel ini. ketika kami komplain dengan pihak hotel sampai beberapa kali karna kejadian tersebut terulang terus, tapi pihak hotel hanya menelpon kamar tersebut saja terus menerus, tidak ada sanksi tegas yang diberikan. pindah kamar dengan beda lantai kembali katanya sudah tidak bisa karna sudah memasuki malam hari tidak ada tindak lanjutnya lagi. lain kali pihak hotel seharusnya bisa memberikan ketegasan kepada tamu yang seperti itu, jangan hanya cuma menegur lewat telpon saja ke kamar tersebut. kalau sudah 3x ditegur lewat telpon, seharusnya untuk ke 4x nya diberikan sanksi tegas agar tamu lainnya nyaman untuk beristirahat. itu saja yang membuat kami kecewa menginap disini. terima kasih",none,negatif,
Lokasi,none -> positif,0.8841,10012,Traveloka,Hotel Santika Depok,4/9/2025,62,"plusnya + lokasi strategis + kamar bersih, air conditioner dingin, water heater berfungsi + makanan bervariasi + ada keterlambatan wkt cek in dari hotel tapi dikasih tambahan wkt 2 jam untuk cek out minusnya - lantai kamar mandi dekat wastafel airnya menggenang terus - tidak ada hair dryer dan kulkas - tidak ada galon isi ulang air, jd hanya dibatasi 4 botol",none,positif,
Lokasi,netral -> positif,0.8605,1713,Agoda,Hotel Santika Cirebon,7/2/2024,35,"ini adalah hotel yang cukup tua tapi terawat dengan baik. kamarnya bersih dan luas, stafnya sangat baik dan ramah. sarapannya bisa lebih baik, perlu ditingkatkan. lokasi sangat bagus, ada pusat perbelanjaan dan restoran di dekatnya.",netral,positif,"lokasi sangat bagus, ada pusat perbelanjaan dan restoran di dekatnya."
Lokasi,none -> positif,0.8374,5026,Tiket,Hotel Santika Mega City Bekasi,5/10/2021,10,"hotelnya d dalem mol, enak sih check out langsung belanja",none,positif,
Lokasi,none -> positif,0.8076,7989,Traveloka,Hotel Santika Bogor,9/4/2019,27,"tempat sangat strategis, parkinya mudah, check-in cepat. pelayanan sangat ramah, handuk sprei dan bersih. air conditioner dan water heater berfungsi dengan baik, tapi tidak ada hair dryer.",none,positif,
Lokasi,netral -> positif,0.8011,1911,Agoda,Hotel Santika Cirebon,7/31/2018,16,"meninap dadakan dapat harga kurang lebih 800rb per malam, breakfast baik lokasi juga di tengah kota",netral,positif,"meninap dadakan dapat harga kurang lebih 800rb per malam, breakfast baik lokasi juga di tengah kota"
Lokasi,netral -> positif,0.7936,2346,Agoda,Hotel Santika Cirebon,12/4/2012,22,lokasi hotel sangat bagus karena dekat sekali dengan stasiun kereta api sehingga tidak takut terlambat. dan juga sangat dekat dengan pusat pertokoan.,netral,positif,lokasi hotel sangat bagus karena dekat sekali dengan
Lokasi,none -> positif,0.7926,7176,Traveloka,Hotel Santika Bandung,6/3/2015,9,"pelayanannya baik dan hotelnya nyaman, dekat dengan mana saja",none,positif,
Lokasi,none -> positif,0.7906,1446,Agoda,Hotel Santika Bogor,5/8/2022,18,mall tinggal lewat basemen mao ke mesjid masih dalam satu area mao dinner banyak makanan tersedia di mall,none,positif,
Lokasi,none -> positif,0.7671,10454,Traveloka,Hotel Santika Depok,5/29/2019,8,"handuknya kumal masih dipakai, lokasi dan pelayanan sih.",none,positif,
Lokasi,netral -> positif,0.7587,1491,Agoda,Hotel Santika Bogor,9/2/2019,64,"pertama sampai di hotel memiliki kesan yang luar biasa, lokasi yang baik dekat dengan mal kebersihan cukup baik. untuk fasilitas kolam renang juga bagus. santika sangat terkenal dengan beragaman sarapanya yang pasti enak. untuk staf saya merasa kurang ramah. bagian fo, tempat sarapan, kolam renang, mungkin karena libur lebaran ramai tamu mereka kelelahan sehingga ya biasa saja, tapi untuk satpamnya sangat baik dan ramah.",netral,positif,"memiliki kesan yang luar biasa, lokasi yang baik dekat dengan mal kebersihan cukup baik"
Lokasi,none -> positif,0.7553,6330,Traveloka,Hotel Santika Bandung,1/30/2019,30,"hotel yang bagus dan di sebelah factory outlet. staf meja depan memberi saya upgrade gratis tipe kamar ke eksekutif, itu adalah tawaran hebat akan merekomendasikan hotel ini kepada orang lain.",none,positif,
Lokasi,none -> positif,0.7453,1316,Agoda,Hotel Santika Bogor,4/22/2026,11,"dekat dengan mall, pelayanan oke, dan fasilitas mantap, keep it up",none,positif,
Lokasi,none -> positif,0.7298,1408,Agoda,Hotel Santika Bogor,12/18/2023,12,"dekat kebun raya, botani square. makanannya enak, staf ramah. baik buat keluarga.",none,positif,
Lokasi,none -> positif,0.7102,5805,Tiket,Hotel Santika Tasikmalaya,4/16/2026,15,kualitas layanan terbaik. hidangan yang disajikan lezat. suasana ramah. dekat dengan pusat hiburan. parkir aman.,none,positif,
Lokasi,none -> positif,0.7019,8530,Traveloka,Hotel Santika Bogor,2/15/2017,13,hotel yang nyaman di lokasi yang menarik. ingin tinggal lagi di masa depan,none,positif,
Lokasi,positif -> none,0.7007,7163,Traveloka,Hotel Santika Bandung,7/1/2015,20,"semua memuaskan. kamar makanan tempat parkir lokasinya, mobil pun di cuci hebat tops dah. sukses terus buat santika traveloka. salam",positif,none,lokasinya memuaskan
Lokasi,negatif -> none,0.6945,13550,Traveloka,Hotel Santika Mega City Bekasi,12/21/2016,5,parkirnya membingungkan /tidak ada petunjuk,negatif,none,parkirnya membingungkan /tidak ada petunjuk
Lokasi,none -> positif,0.6902,728,Agoda,Hotel Santika Bogor,6/4/2024,14,terletak di samping mal. banyak restoran di mal. kamarnya bersih dan tempat tidurnya nyaman.,none,positif,
Lokasi,positif -> netral,0.6857,14057,Traveloka,Hotel Santika Tasikmalaya,2/20/2019,10,ini adalah lokasi yang tepat untuk liburan di kota kecil,positif,netral,lokasi yang tepat untuk liburan di kota kecil
Lokasi,positif -> netral,0.6811,4095,Tiket,Hotel Santika Bandung,3/3/2022,4,lokasi hotel top banget!,positif,netral,lokasi hotel top banget
Lokasi,none -> positif,0.677,1819,Agoda,Hotel Santika Cirebon,5/12/2024,38,"semua pelayan sangat ramah, kamar nyaman dan bersih, menu makan pagi ckup bervariasi dan enak. akses ke hotel cukup mudah dan bukan di jalur macet. dan yang sangat menarik adalah pagi pagi mobil di cuci dari pihak hotel.",none,positif,
Lokasi,netral -> positif,0.6695,2212,Agoda,Hotel Santika Cirebon,6/17/2019,27,salah satu hotel yang biasa saya pesan apabila ke cirebon. harga tidak terlalu mahal. lokasi juga bagus. pelayanan staffnya bagus. breakfastnya banyak dan enak. kolam renangnya baik.,netral,positif,lokasi juga bagus.
